pert_iname,target,broad_id
acarbose,MGAM,BRD-K44276885-001-06-6
acarbose,MGAM,BRD-K44276885-001-05-8
acarbose,MGAM,BRD-K44276885-001-08-2
acarbose,MGAM,BRD-K44276885-001-07-4
acarbose,SI,BRD-K44276885-001-06-6
acarbose,SI,BRD-K44276885-001-05-8
acarbose,SI,BRD-K44276885-001-08-2
acarbose,SI,BRD-K44276885-001-07-4
ACDPP,GRM5,BRD-K68633617-003-02-9
acebutolol,ADRB1,BRD-A29260609-003-26-0
acebutolol,ADRB1,BRD-A29260609-003-25-2
acebutolol,ADRB2,BRD-A29260609-003-26-0
acebutolol,ADRB2,BRD-A29260609-003-25-2
acecainide,SCN5A,BRD-K07753030-003-17-6
aceclidine,CHRM1,BRD-A32673558-003-03-9
aceclidine,CHRM1,BRD-A32673558-001-02-5
aceclidine,CHRM1,BRD-A32673558-003-04-7
aceclidine,CHRM2,BRD-A32673558-003-03-9
aceclidine,CHRM2,BRD-A32673558-001-02-5
aceclidine,CHRM2,BRD-A32673558-003-04-7
aceclidine,CHRM3,BRD-A32673558-003-03-9
aceclidine,CHRM3,BRD-A32673558-001-02-5
aceclidine,CHRM3,BRD-A32673558-003-04-7
aceclidine,CHRM4,BRD-A32673558-003-03-9
aceclidine,CHRM4,BRD-A32673558-001-02-5
aceclidine,CHRM4,BRD-A32673558-003-04-7
aceclidine,CHRM5,BRD-A32673558-003-03-9
aceclidine,CHRM5,BRD-A32673558-001-02-5
aceclidine,CHRM5,BRD-A32673558-003-04-7
aceclofenac,PTGS2,BRD-K68538666-001-12-3
acefylline,ADORA1,BRD-K44004064-001-07-3
acemetacin,PTGS1,BRD-K67563174-001-17-6
acemetacin,PTGS1,BRD-K67563174-001-16-8
acemetacin,PTGS2,BRD-K67563174-001-17-6
acemetacin,PTGS2,BRD-K67563174-001-16-8
aceneuramic-acid,AZGP1,BRD-K36262466-001-06-3
aceneuramic-acid,CES1,BRD-K36262466-001-06-3
aceneuramic-acid,MBL2,BRD-K36262466-001-06-3
aceneuramic-acid,REG1A,BRD-K36262466-001-06-3
aceneuramic-acid,SELE,BRD-K36262466-001-06-3
aceneuramic-acid,SELP,BRD-K36262466-001-06-3
aceneuramic-acid,SIGLEC1,BRD-K36262466-001-06-3
acenocoumarol,VKORC1,BRD-A65051990-001-12-9
acepromazine,ADRA1A,BRD-K37814297-050-09-6
acepromazine,ADRA1B,BRD-K37814297-050-09-6
acepromazine,DRD1,BRD-K37814297-050-09-6
acepromazine,DRD2,BRD-K37814297-050-09-6
acepromazine,HTR1A,BRD-K37814297-050-09-6
acepromazine,HTR2A,BRD-K37814297-050-09-6
acetazolamide,AQP1,BRD-K43457670-001-27-8
acetazolamide,CA1,BRD-K43457670-001-27-8
acetazolamide,CA12,BRD-K43457670-001-27-8
acetazolamide,CA14,BRD-K43457670-001-27-8
acetazolamide,CA2,BRD-K43457670-001-27-8
acetazolamide,CA3,BRD-K43457670-001-27-8
acetazolamide,CA4,BRD-K43457670-001-27-8
acetazolamide,CA7,BRD-K43457670-001-27-8
acetohexamide,ABCC8,BRD-K52960356-001-13-0
acetohexamide,ABCC8,BRD-K52960356-001-15-5
acetohexamide,KCNJ1,BRD-K52960356-001-13-0
acetohexamide,KCNJ1,BRD-K52960356-001-15-5
acetohexamide,KCNJ10,BRD-K52960356-001-13-0
acetohexamide,KCNJ10,BRD-K52960356-001-15-5
acetohexamide,KCNJ11,BRD-K52960356-001-13-0
acetohexamide,KCNJ11,BRD-K52960356-001-15-5
acetohydroxamic-acid,MMP12,BRD-K21615095-001-08-4
acetophenazine,DRD1,BRD-K42938903-332-01-1
acetophenazine,DRD2,BRD-K42938903-332-01-1
acetyl-farnesyl-cysteine,PPARG,BRD-K79437791-001-06-5
acetyl-farnesyl-cysteine,PPARG,BRD-K79437791-001-05-7
acetyl-11-keto-beta-boswellic-acid,HSD11B1,BRD-A44696962-001-01-4
acetyl-11-keto-beta-boswellic-acid,HSD11B2,BRD-A44696962-001-01-4
acetylcholine,ACHE,BRD-K82381502-003-24-9
acetylcholine,ACHE,BRD-K82381502-003-23-1
acetylcholine,CHRM1,BRD-K82381502-003-24-9
acetylcholine,CHRM1,BRD-K82381502-003-23-1
acetylcholine,CHRM2,BRD-K82381502-003-24-9
acetylcholine,CHRM2,BRD-K82381502-003-23-1
acetylcholine,CHRM3,BRD-K82381502-003-24-9
acetylcholine,CHRM3,BRD-K82381502-003-23-1
acetylcholine,CHRM4,BRD-K82381502-003-24-9
acetylcholine,CHRM4,BRD-K82381502-003-23-1
acetylcholine,CHRM5,BRD-K82381502-003-24-9
acetylcholine,CHRM5,BRD-K82381502-003-23-1
acetylcholine,CHRNA2,BRD-K82381502-003-24-9
acetylcholine,CHRNA2,BRD-K82381502-003-23-1
acetylcysteine,ACY1,BRD-K59058747-001-19-1
acetylcysteine,ACY1,BRD-K59058747-001-20-9
acetylcysteine,ACY1,BRD-K59058747-001-18-3
acetylcysteine,CHUK,BRD-K59058747-001-19-1
acetylcysteine,CHUK,BRD-K59058747-001-20-9
acetylcysteine,CHUK,BRD-K59058747-001-18-3
acetylcysteine,GRIN1,BRD-K59058747-001-19-1
acetylcysteine,GRIN1,BRD-K59058747-001-20-9
acetylcysteine,GRIN1,BRD-K59058747-001-18-3
acetylcysteine,GRIN2A,BRD-K59058747-001-19-1
acetylcysteine,GRIN2A,BRD-K59058747-001-20-9
acetylcysteine,GRIN2A,BRD-K59058747-001-18-3
acetylcysteine,GRIN2B,BRD-K59058747-001-19-1
acetylcysteine,GRIN2B,BRD-K59058747-001-20-9
acetylcysteine,GRIN2B,BRD-K59058747-001-18-3
acetylcysteine,GRIN2D,BRD-K59058747-001-19-1
acetylcysteine,GRIN2D,BRD-K59058747-001-20-9
acetylcysteine,GRIN2D,BRD-K59058747-001-18-3
acetylcysteine,GRIN3A,BRD-K59058747-001-19-1
acetylcysteine,GRIN3A,BRD-K59058747-001-20-9
acetylcysteine,GRIN3A,BRD-K59058747-001-18-3
acetylcysteine,GSS,BRD-K59058747-001-19-1
acetylcysteine,GSS,BRD-K59058747-001-20-9
acetylcysteine,GSS,BRD-K59058747-001-18-3
acetylcysteine,IKBKB,BRD-K59058747-001-19-1
acetylcysteine,IKBKB,BRD-K59058747-001-20-9
acetylcysteine,IKBKB,BRD-K59058747-001-18-3
acetylcysteine,RELA,BRD-K59058747-001-19-1
acetylcysteine,RELA,BRD-K59058747-001-20-9
acetylcysteine,RELA,BRD-K59058747-001-18-3
acetylcysteine,SLC7A11,BRD-K59058747-001-19-1
acetylcysteine,SLC7A11,BRD-K59058747-001-20-9
acetylcysteine,SLC7A11,BRD-K59058747-001-18-3
acexamic-acid,GAST,BRD-K72215350-001-06-5
acifran,HCAR2,BRD-A29520968-001-03-5
acifran,HCAR2,BRD-A29520968-001-02-7
acifran,HCAR3,BRD-A29520968-001-03-5
acifran,HCAR3,BRD-A29520968-001-02-7
acipimox,HCAR2,BRD-K63736853-001-06-3
acipimox,HCAR2,BRD-K63736853-001-04-8
acipimox,HCAR2,BRD-K63736853-001-03-0
acitretin,RARA,BRD-K62012036-001-14-4
acitretin,RARA,BRD-K62012036-001-13-6
acitretin,RARB,BRD-K62012036-001-14-4
acitretin,RARB,BRD-K62012036-001-13-6
acitretin,RARG,BRD-K62012036-001-14-4
acitretin,RARG,BRD-K62012036-001-13-6
acitretin,RBP1,BRD-K62012036-001-14-4
acitretin,RBP1,BRD-K62012036-001-13-6
acitretin,RXRA,BRD-K62012036-001-14-4
acitretin,RXRA,BRD-K62012036-001-13-6
acitretin,RXRB,BRD-K62012036-001-14-4
acitretin,RXRB,BRD-K62012036-001-13-6
acitretin,RXRG,BRD-K62012036-001-14-4
acitretin,RXRG,BRD-K62012036-001-13-6
acitretin,STAT3,BRD-K62012036-001-14-4
acitretin,STAT3,BRD-K62012036-001-13-6
acivicin,CTPS1,BRD-K13050541-001-01-9
aclarubicin,TOP1,BRD-A80805100-001-02-7
aclarubicin,TOP1,BRD-A80805100-001-01-9
aclarubicin,TOP2A,BRD-A80805100-001-02-7
aclarubicin,TOP2A,BRD-A80805100-001-01-9
aclidinium,CHRM1,BRD-K74363950-004-01-0
aclidinium,CHRM2,BRD-K74363950-004-01-0
aclidinium,CHRM3,BRD-K74363950-004-01-0
aclidinium,CHRM4,BRD-K74363950-004-01-0
aclidinium,CHRM5,BRD-K74363950-004-01-0
acriflavine,HIF1A,BRD-M87138257-003-01-1
acriflavinium,HIF1A,BRD-K97874492-003-12-3
acrivastine,HRH1,BRD-K50163129-001-01-4
ACT-132577,EDNRA,BRD-K34843150-001-03-0
ACT-132577,EDNRA,BRD-K34843150-001-02-2
ACT-132577,EDNRA,BRD-K34843150-001-01-4
ACT-132577,EDNRB,BRD-K34843150-001-03-0
ACT-132577,EDNRB,BRD-K34843150-001-02-2
ACT-132577,EDNRB,BRD-K34843150-001-01-4
ACT-462206,HCRTR1,BRD-K19781342-001-02-2
ACT-462206,HCRTR1,BRD-K19781342-001-01-4
ACT-462206,HCRTR2,BRD-K19781342-001-02-2
ACT-462206,HCRTR2,BRD-K19781342-001-01-4
ACTB-1003,KDR,BRD-K35936936-001-01-6
ACTB-1003,TEK,BRD-K35936936-001-01-6
ACY-1215,HDAC1,BRD-K82928847-001-04-7
ACY-1215,HDAC2,BRD-K82928847-001-04-7
ACY-1215,HDAC3,BRD-K82928847-001-04-7
ACY-1215,HDAC6,BRD-K82928847-001-04-7
ACY-1215,HDAC8,BRD-K82928847-001-04-7
acyclovir,PNP,BRD-K32318651-001-26-0
acyclovir,PNP,BRD-K32318651-001-23-7
acyclovir,PNP,BRD-K32318651-001-22-9
acyclovir,PNP,BRD-K32318651-001-21-1
acyclovir,PNP,BRD-K32318651-001-24-5
AD-5467,AKR1B1,BRD-A80280426-001-02-0
AD-5467,AKR1B1,BRD-A80280426-001-03-8
adapalene,RARA,BRD-K33127281-001-06-4
adapalene,RARA,BRD-K33127281-001-04-9
adapalene,RARA,BRD-K33127281-001-05-6
adapalene,RARB,BRD-K33127281-001-06-4
adapalene,RARB,BRD-K33127281-001-04-9
adapalene,RARB,BRD-K33127281-001-05-6
adapalene,RARG,BRD-K33127281-001-06-4
adapalene,RARG,BRD-K33127281-001-04-9
adapalene,RARG,BRD-K33127281-001-05-6
adapalene,RXRA,BRD-K33127281-001-06-4
adapalene,RXRA,BRD-K33127281-001-04-9
adapalene,RXRA,BRD-K33127281-001-05-6
adapalene,RXRB,BRD-K33127281-001-06-4
adapalene,RXRB,BRD-K33127281-001-04-9
adapalene,RXRB,BRD-K33127281-001-05-6
adapalene,RXRG,BRD-K33127281-001-06-4
adapalene,RXRG,BRD-K33127281-001-04-9
adapalene,RXRG,BRD-K33127281-001-05-6
adaprev,IGF2R,BRD-A73427433-240-01-3
adaprev,M6PR,BRD-A73427433-240-01-3
adaptavir,CCR5,BRD-K37151368-001-01-7
adarotene,RARB,BRD-K00152668-001-01-5
adarotene,RARG,BRD-K00152668-001-01-5
adatanserin,HTR1A,BRD-K67789209-001-01-0
adatanserin,HTR2A,BRD-K67789209-001-01-0
ademetionine,AMD1,BRD-K78185697-001-02-5
ademetionine,AMD1,BRD-K78185697-001-01-7
ademetionine,CBS,BRD-K78185697-001-02-5
ademetionine,CBS,BRD-K78185697-001-01-7
ademetionine,COMT,BRD-K78185697-001-02-5
ademetionine,COMT,BRD-K78185697-001-01-7
ademetionine,GNMT,BRD-K78185697-001-02-5
ademetionine,GNMT,BRD-K78185697-001-01-7
ademetionine,MAT1A,BRD-K78185697-001-02-5
ademetionine,MAT1A,BRD-K78185697-001-01-7
ademetionine,MAT2A,BRD-K78185697-001-02-5
ademetionine,MAT2A,BRD-K78185697-001-01-7
adenine,ACACB,BRD-K26060080-065-05-6
adenine,ACACB,BRD-K26060080-001-11-9
adenine,ACACB,BRD-K26060080-003-07-3
adenine,ACACB,BRD-K26060080-001-10-1
adenine,ACP1,BRD-K26060080-065-05-6
adenine,ACP1,BRD-K26060080-001-11-9
adenine,ACP1,BRD-K26060080-003-07-3
adenine,ACP1,BRD-K26060080-001-10-1
adenine,APRT,BRD-K26060080-065-05-6
adenine,APRT,BRD-K26060080-001-11-9
adenine,APRT,BRD-K26060080-003-07-3
adenine,APRT,BRD-K26060080-001-10-1
adenine,MTAP,BRD-K26060080-065-05-6
adenine,MTAP,BRD-K26060080-001-11-9
adenine,MTAP,BRD-K26060080-003-07-3
adenine,MTAP,BRD-K26060080-001-10-1
adenine,PECR,BRD-K26060080-065-05-6
adenine,PECR,BRD-K26060080-001-11-9
adenine,PECR,BRD-K26060080-003-07-3
adenine,PECR,BRD-K26060080-001-10-1
adenine,SRPK2,BRD-K26060080-065-05-6
adenine,SRPK2,BRD-K26060080-001-11-9
adenine,SRPK2,BRD-K26060080-003-07-3
adenine,SRPK2,BRD-K26060080-001-10-1
adenosine,ADORA1,BRD-K01577834-001-15-1
adenosine,ADORA1,BRD-K01577834-001-16-9
adenosine,ADORA2A,BRD-K01577834-001-15-1
adenosine,ADORA2A,BRD-K01577834-001-16-9
adenosine,ADORA2B,BRD-K01577834-001-15-1
adenosine,ADORA2B,BRD-K01577834-001-16-9
adenosine,ADORA3,BRD-K01577834-001-15-1
adenosine,ADORA3,BRD-K01577834-001-16-9
adenosine,PI4K2A,BRD-K01577834-001-15-1
adenosine,PI4K2A,BRD-K01577834-001-16-9
adenosine,PI4K2B,BRD-K01577834-001-15-1
adenosine,PI4K2B,BRD-K01577834-001-16-9
adenosine,TRPM4,BRD-K01577834-001-15-1
adenosine,TRPM4,BRD-K01577834-001-16-9
adenosine-phosphate,ACSL1,BRD-A10111329-001-04-6
adenosine-phosphate,ACSS1,BRD-A10111329-001-04-6
adenosine-phosphate,ACSS2,BRD-A10111329-001-04-6
adenosine-phosphate,ADCY1,BRD-A10111329-001-04-6
adenosine-phosphate,ADK,BRD-A10111329-001-04-6
adenosine-phosphate,CREB1,BRD-A10111329-001-04-6
adenosine-phosphate,FBP1,BRD-A10111329-001-04-6
adenosine-phosphate,HINT1,BRD-A10111329-001-04-6
adenosine-phosphate,PDE4B,BRD-A10111329-001-04-6
adenosine-phosphate,PDE4D,BRD-A10111329-001-04-6
adenosine-phosphate,PIM1,BRD-A10111329-001-04-6
adenosine-phosphate,PRKAA1,BRD-A10111329-001-04-6
adenosine-phosphate,PRKAB1,BRD-A10111329-001-04-6
adenosine-phosphate,PRKAB2,BRD-A10111329-001-04-6
adenosine-phosphate,PYGL,BRD-A10111329-001-04-6
adenosine-phosphate,TRPM4,BRD-A10111329-001-04-6
adenosine-triphosphate,ABCA1,BRD-A31990649-304-04-9
adenosine-triphosphate,ABCA1,BRD-A31990649-304-02-3
adenosine-triphosphate,ABCA1,BRD-A31990649-304-03-1
adenosine-triphosphate,ABCB1,BRD-A31990649-304-04-9
adenosine-triphosphate,ABCB1,BRD-A31990649-304-02-3
adenosine-triphosphate,ABCB1,BRD-A31990649-304-03-1
adenosine-triphosphate,ABCB11,BRD-A31990649-304-04-9
adenosine-triphosphate,ABCB11,BRD-A31990649-304-02-3
adenosine-triphosphate,ABCB11,BRD-A31990649-304-03-1
adenosine-triphosphate,ABCC2,BRD-A31990649-304-04-9
adenosine-triphosphate,ABCC2,BRD-A31990649-304-02-3
adenosine-triphosphate,ABCC2,BRD-A31990649-304-03-1
adenosine-triphosphate,ABCC8,BRD-A31990649-304-04-9
adenosine-triphosphate,ABCC8,BRD-A31990649-304-02-3
adenosine-triphosphate,ABCC8,BRD-A31990649-304-03-1
adenosine-triphosphate,ABCC9,BRD-A31990649-304-04-9
adenosine-triphosphate,ABCC9,BRD-A31990649-304-02-3
adenosine-triphosphate,ABCC9,BRD-A31990649-304-03-1
adenosine-triphosphate,ABCG1,BRD-A31990649-304-04-9
adenosine-triphosphate,ABCG1,BRD-A31990649-304-02-3
adenosine-triphosphate,ABCG1,BRD-A31990649-304-03-1
adenosine-triphosphate,ABL1,BRD-A31990649-304-04-9
adenosine-triphosphate,ABL1,BRD-A31990649-304-02-3
adenosine-triphosphate,ABL1,BRD-A31990649-304-03-1
adenosine-triphosphate,ABL2,BRD-A31990649-304-04-9
adenosine-triphosphate,ABL2,BRD-A31990649-304-02-3
adenosine-triphosphate,ABL2,BRD-A31990649-304-03-1
adenosine-triphosphate,ACSL1,BRD-A31990649-304-04-9
adenosine-triphosphate,ACSL1,BRD-A31990649-304-02-3
adenosine-triphosphate,ACSL1,BRD-A31990649-304-03-1
adenosine-triphosphate,ACSS1,BRD-A31990649-304-04-9
adenosine-triphosphate,ACSS1,BRD-A31990649-304-02-3
adenosine-triphosphate,ACSS1,BRD-A31990649-304-03-1
adenosine-triphosphate,ACSS2,BRD-A31990649-304-04-9
adenosine-triphosphate,ACSS2,BRD-A31990649-304-02-3
adenosine-triphosphate,ACSS2,BRD-A31990649-304-03-1
adenosine-triphosphate,ACVR1,BRD-A31990649-304-04-9
adenosine-triphosphate,ACVR1,BRD-A31990649-304-02-3
adenosine-triphosphate,ACVR1,BRD-A31990649-304-03-1
adenosine-triphosphate,ACVR1B,BRD-A31990649-304-04-9
adenosine-triphosphate,ACVR1B,BRD-A31990649-304-02-3
adenosine-triphosphate,ACVR1B,BRD-A31990649-304-03-1
adenosine-triphosphate,ACVRL1,BRD-A31990649-304-04-9
adenosine-triphosphate,ACVRL1,BRD-A31990649-304-02-3
adenosine-triphosphate,ACVRL1,BRD-A31990649-304-03-1
adenosine-triphosphate,ADCY1,BRD-A31990649-304-04-9
adenosine-triphosphate,ADCY1,BRD-A31990649-304-02-3
adenosine-triphosphate,ADCY1,BRD-A31990649-304-03-1
adenosine-triphosphate,ADRBK1,BRD-A31990649-304-04-9
adenosine-triphosphate,ADRBK1,BRD-A31990649-304-02-3
adenosine-triphosphate,ADRBK1,BRD-A31990649-304-03-1
adenosine-triphosphate,ADRBK2,BRD-A31990649-304-04-9
adenosine-triphosphate,ADRBK2,BRD-A31990649-304-02-3
adenosine-triphosphate,ADRBK2,BRD-A31990649-304-03-1
adenosine-triphosphate,AFG3L2,BRD-A31990649-304-04-9
adenosine-triphosphate,AFG3L2,BRD-A31990649-304-02-3
adenosine-triphosphate,AFG3L2,BRD-A31990649-304-03-1
adenosine-triphosphate,AKT1,BRD-A31990649-304-04-9
adenosine-triphosphate,AKT1,BRD-A31990649-304-02-3
adenosine-triphosphate,AKT1,BRD-A31990649-304-03-1
adenosine-triphosphate,ALK,BRD-A31990649-304-04-9
adenosine-triphosphate,ALK,BRD-A31990649-304-02-3
adenosine-triphosphate,ALK,BRD-A31990649-304-03-1
adenosine-triphosphate,AMHR2,BRD-A31990649-304-04-9
adenosine-triphosphate,AMHR2,BRD-A31990649-304-02-3
adenosine-triphosphate,AMHR2,BRD-A31990649-304-03-1
adenosine-triphosphate,APAF1,BRD-A31990649-304-04-9
adenosine-triphosphate,APAF1,BRD-A31990649-304-02-3
adenosine-triphosphate,APAF1,BRD-A31990649-304-03-1
adenosine-triphosphate,ARAF,BRD-A31990649-304-04-9
adenosine-triphosphate,ARAF,BRD-A31990649-304-02-3
adenosine-triphosphate,ARAF,BRD-A31990649-304-03-1
adenosine-triphosphate,ASNA1,BRD-A31990649-304-04-9
adenosine-triphosphate,ASNA1,BRD-A31990649-304-02-3
adenosine-triphosphate,ASNA1,BRD-A31990649-304-03-1
