set_name,overlap_size,set_size,hit_size,universe_size,p_value,fdr
Neural Crest Cell Migration during Development,0,2,13,64,1.0,1.0
Cell migration and invasion through p75NTR,0,2,13,64,1.0,1.0
Synaptic signaling pathways associated with autism spectrum disorder,0,2,13,64,1.0,1.0
Regulatory circuits of the STAT3 signaling pathway,0,4,13,64,1.0,1.0
Chemokine signaling pathway,0,5,13,64,1.0,1.0
Neuroinflammation,0,3,13,64,1.0,1.0
IL-5 signaling pathway,0,3,13,64,1.0,1.0
Physiological and pathological hypertrophy of the heart,0,4,13,64,1.0,1.0
Metapathway biotransformation Phase I and II,0,3,13,64,1.0,1.0
Interleukin-11 Signaling Pathway,0,2,13,64,1.0,1.0
"Parkinson,s disease pathway",0,2,13,64,1.0,1.0
RANKL-RANK signaling pathway,0,3,13,64,1.0,1.0
Leptin signaling pathway,0,5,13,64,1.0,1.0
Common Pathways Underlying Drug Addiction,0,2,13,64,1.0,1.0
Type II interferon signaling (IFNG),0,2,13,64,1.0,1.0
Wnt signaling pathway and pluripotency,0,3,13,64,1.0,1.0
Folate Metabolism,0,2,13,64,1.0,1.0
Phosphodiesterases in neuronal function,0,4,13,64,1.0,1.0
Selenium Micronutrient Network,0,2,13,64,1.0,1.0
Primary focal segmental glomerulosclerosis (FSGS),0,2,13,64,1.0,1.0
"Non-genomic actions of 1,25 dihydroxyvitamin D3",0,5,13,64,1.0,1.0
MAPK Signaling Pathway,0,11,13,64,1.0,1.0
Netrin-UNC5B signaling pathway,0,3,13,64,1.0,1.0
Lidocaine metabolism,0,2,13,64,1.0,1.0
Angiopoietin Like Protein 8 Regulatory Pathway,0,4,13,64,1.0,1.0
Association Between Physico-Chemical Features and Toxicity Associated Pathways,0,3,13,64,1.0,1.0
Host-pathogen interaction of human coronaviruses - interferon induction,0,3,13,64,1.0,1.0
Kisspeptin-kisspeptin receptor system in the ovary,0,3,13,64,1.0,1.0
Canonical and non-canonical TGF-B signaling,0,2,13,64,1.0,1.0
Allograft Rejection,0,2,13,64,1.0,1.0
IL-1 signaling pathway,0,4,13,64,1.0,1.0
EGF-EGFR signaling pathway,0,7,13,64,1.0,1.0
Epithelial to mesenchymal transition in colorectal cancer,0,7,13,64,1.0,1.0
Integrin-mediated Cell Adhesion,0,3,13,64,1.0,1.0
Peptide GPCRs,0,4,13,64,1.0,1.0
TGF-beta Signaling Pathway,0,4,13,64,1.0,1.0
Amyotrophic lateral sclerosis (ALS),0,2,13,64,1.0,1.0
Regulation of toll-like receptor signaling pathway,0,5,13,64,1.0,1.0
Oxidation by Cytochrome P450,0,2,13,64,1.0,1.0
IL17 signaling pathway,0,2,13,64,1.0,1.0
Extracellular vesicle-mediated signaling in recipient cells,0,2,13,64,1.0,1.0
"Alzheimer,s disease",0,4,13,64,1.0,1.0
Immune response to tuberculosis,0,2,13,64,1.0,1.0
Fragile X Syndrome,0,2,13,64,1.0,1.0
Osteoblast differentiation,0,5,13,64,1.0,1.0
Splicing factor NOVA regulated synaptic proteins,0,2,13,64,1.0,1.0
Prolactin Signaling Pathway,0,6,13,64,1.0,1.0
Purinergic signaling,0,2,13,64,1.0,1.0
3q29 copy number variation syndrome,0,2,13,64,1.0,1.0
Fas ligand pathway and stress induction of heat shock proteins,0,3,13,64,1.0,1.0
Fatty Acid Omega Oxidation,0,2,13,64,1.0,1.0
DNA damage response (only ATM dependent),0,2,13,64,1.0,1.0
ErbB signaling pathway,0,4,13,64,1.0,1.0
Estrogen metabolism,0,2,13,64,1.0,1.0
Acute viral myocarditis,0,3,13,64,1.0,1.0
Neovascularisation processes,0,3,13,64,1.0,1.0
Vitamin B12 metabolism,0,2,13,64,1.0,1.0
Vitamin D-sensitive calcium signaling in depression,0,2,13,64,1.0,1.0
Host-pathogen interaction of human coronaviruses - MAPK signaling,0,2,13,64,1.0,1.0
IL-7 signaling pathway,0,2,13,64,1.0,1.0
Complement system,0,2,13,64,1.0,1.0
Copper homeostasis,0,2,13,64,1.0,1.0
Apoptosis Modulation and Signaling,0,2,13,64,1.0,1.0
Angiogenesis,0,3,13,64,1.0,1.0
IL-2 signaling pathway,0,3,13,64,1.0,1.0
Adipogenesis,0,2,13,64,1.0,1.0
Gastrin signaling pathway,0,6,13,64,1.0,1.0
TNF related weak inducer of apoptosis (TWEAK) Signaling Pathway,0,3,13,64,1.0,1.0
Nuclear Receptors in Lipid Metabolism and Toxicity,0,3,13,64,1.0,1.0
Wnt-beta-catenin signaling pathway in leukemia,0,2,13,64,1.0,1.0
Follicle Stimulating Hormone (FSH) signaling pathway,0,2,13,64,1.0,1.0
Monoamine Transport,0,3,13,64,1.0,1.0
Mechanoregulation and pathology of YAP-TAZ via Hippo and non-Hippo mechanisms,0,2,13,64,1.0,1.0
Chromosomal and microsatellite instability in colorectal cancer,0,3,13,64,1.0,1.0
Toll-like Receptor Signaling Pathway,0,4,13,64,1.0,1.0
Modulators of TCR signaling and T cell activation,0,2,13,64,1.0,1.0
Alpha 6 Beta 4 signaling pathway,0,2,13,64,1.0,1.0
Wnt Signaling Pathway,0,3,13,64,1.0,1.0
Signal transduction through IL1R,0,3,13,64,1.0,1.0
IL-18 signaling pathway,0,4,13,64,1.0,1.0
B Cell Receptor Signaling Pathway,0,6,13,64,1.0,1.0
T-cell receptor (TCR) signaling pathway,0,6,13,64,1.0,1.0
NO-cGMP-PKG mediated Neuroprotection,0,3,13,64,1.0,1.0
IL-6 signaling pathway,0,2,13,64,1.0,1.0
RAS and bradykinin pathways in COVID-19,0,2,13,64,1.0,1.0
Tamoxifen metabolism,0,2,13,64,1.0,1.0
Kit receptor signaling pathway,0,5,13,64,1.0,1.0
Endometrial cancer,0,2,13,64,1.0,1.0
Neural Crest Cell Migration in Cancer,0,2,13,64,1.0,1.0
Hepatitis C and Hepatocellular Carcinoma,0,6,13,64,1.0,1.0
Aflatoxin B1 metabolism,0,2,13,64,1.0,1.0
Novel intracellular components of RIG-I-like receptor (RLR) pathway,0,2,13,64,1.0,1.0
Thymic Stromal LymphoPoietin (TSLP) Signaling Pathway,0,6,13,64,1.0,1.0
Pathways in clear cell renal cell carcinoma,0,2,13,64,1.0,1.0
RAC1-PAK1-p38-MMP2 Pathway,0,4,13,64,1.0,1.0
Wnt signaling,0,2,13,64,1.0,1.0
Brain-derived neurotrophic factor (BDNF) signaling pathway,0,5,13,64,1.0,1.0
Hypothesized Pathways in Pathogenesis of Cardiovascular Disease,0,2,13,64,1.0,1.0
Resistin as a regulator of inflammation,0,2,13,64,1.0,1.0
Nonalcoholic fatty liver disease,0,4,13,64,1.0,1.0
T-Cell Receptor and Co-stimulatory Signaling,0,2,13,64,1.0,1.0
Translation inhibitors in chronically activated PDGFRA cells,0,3,13,64,1.0,1.0
Photodynamic therapy-induced NFE2L2 (NRF2) survival signaling,0,2,13,64,1.0,1.0
IL-3 signaling pathway,0,3,13,64,1.0,1.0
Hepatitis B infection,0,6,13,64,1.0,1.0
Energy Metabolism,0,2,13,64,1.0,1.0
Host-pathogen interaction of human coronaviruses - apoptosis,0,3,13,64,1.0,1.0
Interferon type I signaling pathways,0,3,13,64,1.0,1.0
Notch Signaling Pathway Netpath,0,3,13,64,1.0,1.0
IL-4 signaling pathway,0,3,13,64,1.0,1.0
Signaling of Hepatocyte Growth Factor Receptor,0,3,13,64,1.0,1.0
AGE-RAGE pathway,0,7,13,64,1.0,1.0
