pert_iname_compound,gene,y_prob,classifier,formulation,features,gene_rank,gene_pct,compound_rank,compound_pct,gene_compound_global_rank,gene_compound_global_pct,gene_compound_local_pct,n_connected_genes_train,connected_genes_train,n_connected_compounds_train,connected_compounds_train,any_connected_train,which_connected_train
amlexanox,FGF1,0.17509020306690426,cosine1nn,compound,compound,159,0.99375,16,0.26666666666666666,2519,0.26239583333333333,0.6302083333333334,0,,1,pazopanib,TRUE,compound
amlexanox,PDE4D,0.17509020306690426,cosine1nn,compound,compound,160,1,16,0.26666666666666666,2578,0.2685416666666667,0.6333333333333333,0,,4,Ro-20-1724|dyphylline|ibudilast|zaprinast,TRUE,compound
amlodipine,CACNA2D3,0.0278941984027457,cosine1nn,compound,compound,160,1,40,0.6666666666666666,6295,0.6557291666666667,0.8333333333333333,0,,1,nilvadipine,TRUE,compound
azeliragon,AGER,0.18422051349745897,cosine1nn,compound,compound,160,1,15,0.25,2309,0.24052083333333332,0.625,0,,0,,FALSE,neither
brinzolamide,CA14,0.0049859195212637,cosine1nn,compound,compound,159,0.99375,48,0.8,7565,0.7880208333333333,0.8968750000000001,0,,3,carzenide|coumarin|ethoxzolamide,TRUE,compound
brinzolamide,CA5A,0.0049859195212637,cosine1nn,compound,compound,160,1,48,0.8,7566,0.788125,0.9,0,,1,ethoxzolamide,TRUE,compound
cilostazol,PDE3A,7.067740303170478e-4,cosine1nn,compound,compound,160,1,54,0.9,8610,0.896875,0.95,0,,3,Ro-20-1724|dyphylline|ibudilast,TRUE,compound
danusertib,AURKB,0.3401068136316635,cosine1nn,compound,compound,158,0.9875,7,0.11666666666666668,1052,0.10958333333333334,0.5520833333333334,0,,3,AMG900|GSK1070916|orantinib,TRUE,compound
danusertib,NTRK1,0.3401068136316635,cosine1nn,compound,compound,159,0.99375,9,0.15,1145,0.11927083333333334,0.571875,0,,2,LOXO-101|regorafenib,TRUE,compound
danusertib,RET,0.3401068136316635,cosine1nn,compound,compound,160,1,7,0.11666666666666668,1170,0.121875,0.5583333333333333,0,,3,PP-1|ponatinib|regorafenib,TRUE,compound
delanzomib,CTSG,0.28852605988603613,cosine1nn,compound,compound,158,0.9875,9,0.15,1395,0.1453125,0.56875,0,,1,aloxistatin,TRUE,compound
delanzomib,CYP3A4,0.28852605988603613,cosine1nn,compound,compound,159,0.99375,9,0.15,1398,0.145625,0.571875,0,,7,BMS-536924|GSK1070916|SB-203580|cyclophosphamide|methoxsalen|nevirapine|paliperidone,TRUE,compound
delanzomib,ELANE,0.28852605988603613,cosine1nn,compound,compound,160,1,9,0.15,1405,0.14635416666666667,0.575,0,,0,,FALSE,neither
diacerein,IL1B,0.1409120410093943,cosine1nn,compound,compound,160,1,21,0.35,3341,0.34802083333333333,0.675,0,,3,JTE-607|ibudilast|minocycline,TRUE,compound
diltiazem,CACNG1,1.3750467515893929e-5,cosine1nn,compound,compound,159,0.99375,59,0.9833333333333332,9310,0.9697916666666668,0.9885416666666668,0,,2,ibutilide|lercanidipine,TRUE,compound
diltiazem,HTR3A,1.3750467515893929e-5,cosine1nn,compound,compound,160,1,59,0.9833333333333332,9367,0.9757291666666666,0.9916666666666668,0,,3,aripiprazole|olanzapine|procaine,TRUE,compound
edoxaban,F10,0.05614315886740151,cosine1nn,compound,compound,160,1,29,0.48333333333333334,4581,0.4771875,0.7416666666666667,0,,0,,FALSE,neither
efaproxiral,HBB,0.00882505005170175,cosine1nn,compound,compound,160,1,43,0.7166666666666667,6820,0.7104166666666667,0.8583333333333334,0,,0,,FALSE,neither
efaroxan,ADORA2A,2.3375794777019676e-4,cosine1nn,compound,compound,160,1,56,0.9333333333333332,8816,0.9183333333333332,0.9666666666666668,0,,3,ANR-94|N6-cyclopentyladenosine|dyphylline,TRUE,compound
enilconazole,CYP1A2,0.02842221635535607,cosine1nn,compound,compound,159,0.99375,39,0.65,6156,0.64125,0.821875,0,,2,methoxsalen|nevirapine,TRUE,compound
enilconazole,CYP3A4,0.02842221635535607,cosine1nn,compound,compound,160,1,39,0.65,6158,0.6414583333333334,0.825,0,,7,BMS-536924|GSK1070916|SB-203580|cyclophosphamide|methoxsalen|nevirapine|paliperidone,TRUE,compound
filgotinib,JAK1,0.08520614700899831,cosine1nn,compound,compound,160,1,26,0.43333333333333335,4139,0.43114583333333334,0.7166666666666667,0,,2,TG-101348|ruxolitinib,TRUE,compound
flindokalner,KCNMA1,0.01179515103513517,cosine1nn,compound,compound,158,0.9875,42,0.7,6522,0.679375,0.84375,0,,2,NS-11021|procaine,TRUE,compound
flindokalner,KCNN4,0.01179515103513517,cosine1nn,compound,compound,159,0.99375,43,0.7166666666666667,6524,0.6795833333333333,0.8552083333333333,0,,4,1-EBIO|NS-309|enflurane|procaine,TRUE,compound
flindokalner,KCNQ2,0.01179515103513517,cosine1nn,compound,compound,160,1,41,0.6833333333333333,6525,0.6796875,0.8416666666666667,0,,2,dalfampridine|meclofenamic-acid,TRUE,compound
flupirtine,KCNQ2,0.4414972609068708,cosine1nn,compound,compound,160,1,1,0.01666666666666666,182,0.01895833333333333,0.5083333333333333,0,,2,dalfampridine|meclofenamic-acid,TRUE,compound
gabapentin-enacarbil,CACNA2D3,0.04449376278793476,cosine1nn,compound,compound,158,0.9875,32,0.5333333333333333,5022,0.523125,0.7604166666666667,0,,1,nilvadipine,TRUE,compound
gabapentin-enacarbil,CACNB4,0.04449376278793476,cosine1nn,compound,compound,159,0.99375,32,0.5333333333333333,5023,0.5232291666666666,0.7635416666666667,0,,0,,FALSE,neither
gabapentin-enacarbil,CACNG1,0.04449376278793476,cosine1nn,compound,compound,160,1,32,0.5333333333333333,5024,0.5233333333333333,0.7666666666666666,0,,2,ibutilide|lercanidipine,TRUE,compound
ixabepilone,TUBB,0.7116939475942182,cosine1nn,compound,compound,1,0.00625,2,0.03333333333333333,70,0.00729166666666666,0.01979166666666666,0,,3,colchicine|epothilone-b|oxibendazole,TRUE,compound
ixabepilone,TUBB3,0.2883060524057818,cosine1nn,compound,compound,160,1,10,0.16666666666666666,1666,0.17354166666666668,0.5833333333333334,0,,2,colchicine|epothilone-b,TRUE,compound
ixabepilone,TUBB4B,0.7116939475942182,cosine1nn,compound,compound,2,0.0125,2,0.03333333333333333,71,0.00739583333333333,0.02291666666666667,0,,3,colchicine|epothilone-b|oxibendazole,TRUE,compound
menadione,F10,0.02988526609904734,cosine1nn,compound,compound,160,1,38,0.6333333333333333,6008,0.6258333333333334,0.8166666666666667,0,,0,,FALSE,neither
prasugrel,P2RY12,0.0051069236354036,cosine1nn,compound,compound,160,1,47,0.7833333333333333,7495,0.7807291666666667,0.8916666666666666,0,,1,AZD1283,TRUE,compound
quinine,KCNN4,0.00487591578113655,cosine1nn,compound,compound,160,1,51,0.85,7796,0.8120833333333334,0.925,0,,4,1-EBIO|NS-309|enflurane|procaine,TRUE,compound
racecadotril,MME,0.05496611884804081,cosine1nn,compound,compound,160,1,30,0.5,4789,0.49885416666666665,0.75,0,,1,sacubitril,TRUE,compound
saclofen,KCTD16,0.9378836380436936,cosine1nn,compound,compound,1,0.00625,1,0.01666666666666666,46,0.00479166666666666,0.01145833333333333,0,,1,baclofen,TRUE,compound
sorbinil,AKR1B1,0.03564946208171077,cosine1nn,compound,compound,160,1,34,0.5666666666666667,5324,0.5545833333333333,0.7833333333333333,0,,1,citric-acid,TRUE,compound
sotrastaurin,PRKCB,0.04240369172551866,cosine1nn,compound,compound,159,0.99375,34,0.5666666666666667,5286,0.550625,0.7802083333333334,0,,2,CGP-53353|vitamin-E,TRUE,compound
sotrastaurin,PRKCE,0.04240369172551866,cosine1nn,compound,compound,160,1,33,0.55,5287,0.5507291666666667,0.775,0,,1,afimoxifene,TRUE,compound
taladegib,DHH,2.2275757375750385e-4,cosine1nn,compound,compound,160,1,57,0.95,9019,0.9394791666666666,0.975,0,,1,M-25,TRUE,compound
thiostrepton,FOXM1,0.4373831210261149,cosine1nn,compound,compound,160,1,2,0.03333333333333333,307,0.03197916666666667,0.5166666666666667,0,,0,,FALSE,neither
triamterene,SCNN1G,0.00767001078036655,cosine1nn,compound,compound,160,1,45,0.75,7209,0.7509375,0.875,0,,1,benzamil,TRUE,compound
1-octanol,GJB4,1,cosine5nn,compound,compound,15,0.09375,1,0.01666666666666666,196,0.02041666666666666,0.05520833333333333,0,,1,flufenamic-acid,TRUE,compound
"2,5-furandimethanol",HBB,0,cosine5nn,compound,compound,160,1,2,0.03333333333333333,4542,0.473125,0.5166666666666667,0,,0,,FALSE,neither
2-Oleoylglycerol,GPR119,0,cosine5nn,compound,compound,160,1,3,0.05,4306,0.4485416666666666,0.525,0,,0,,FALSE,neither
A-987306,AVPR1A,0,cosine5nn,compound,compound,159,0.99375,5,0.08333333333333333,1388,0.14458333333333334,0.5385416666666667,0,,1,conivaptan,TRUE,compound
A-987306,CCR1,0,cosine5nn,compound,compound,160,1,5,0.08333333333333333,2138,0.22270833333333337,0.5416666666666666,0,,1,ZK811752,TRUE,compound
A-987306,CHRM2,1,cosine5nn,compound,compound,11,0.06875,3,0.05,111,0.0115625,0.059375,0,,2,aripiprazole|olanzapine,TRUE,compound
A-987306,CHRM3,1,cosine5nn,compound,compound,12,0.075,3,0.05,117,0.0121875,0.0625,0,,3,aripiprazole|olanzapine|zamifenacin,TRUE,compound
A-987306,HTR3A,1,cosine5nn,compound,compound,13,0.08125,3,0.05,227,0.02364583333333333,0.065625,0,,3,aripiprazole|olanzapine|procaine,TRUE,compound
BAN-ORL-24,OPRL1,0,cosine5nn,compound,compound,160,1,5,0.08333333333333333,6677,0.6955208333333334,0.5416666666666666,0,,1,MCOPPB,TRUE,compound
BAY-87-2243,HIF1A,0,cosine5nn,compound,compound,160,1,6,0.1,4777,0.4976041666666667,0.55,0,,1,YC-1,TRUE,compound
BVT-948,PTPN2,0,cosine5nn,compound,compound,160,1,7,0.11666666666666668,8071,0.8407291666666666,0.5583333333333333,0,,0,,FALSE,neither
CCG-50014,RGS4,0,cosine5nn,compound,compound,160,1,10,0.16666666666666666,8191,0.8532291666666667,0.5833333333333334,0,,1,CCG-63802,TRUE,compound
CYT-997,TUBB,1,cosine5nn,compound,compound,8,0.05,2,0.03333333333333333,445,0.04635416666666667,0.04166666666666667,0,,3,colchicine|epothilone-b|oxibendazole,TRUE,compound
DG-172,PPARD,0,cosine5nn,compound,compound,160,1,10,0.16666666666666666,7660,0.7979166666666667,0.5833333333333334,0,,0,,FALSE,neither
EI1,EZH2,0,cosine5nn,compound,compound,160,1,11,0.18333333333333332,3573,0.3721875,0.5916666666666667,0,,1,UNC1999,TRUE,compound
FPS-ZM1,AGER,0,cosine5nn,compound,compound,160,1,12,0.2,774,0.080625,0.6,0,,0,,FALSE,neither
GW-311616,ELANE,0,cosine5nn,compound,compound,160,1,13,0.21666666666666667,3464,0.36083333333333334,0.6083333333333334,0,,0,,FALSE,neither
L-Cystine,SLC7A11,1,cosine5nn,compound,compound,9,0.05625,2,0.03333333333333333,412,0.04291666666666666,0.04479166666666667,0,,1,sulfasalazine,TRUE,compound
ML-228,HIF1A,0,cosine5nn,compound,compound,160,1,15,0.25,4786,0.49854166666666666,0.625,0,,1,YC-1,TRUE,compound
N-alpha-Methylhistamine-dihydrochloride,HRH4,0,cosine5nn,compound,compound,160,1,18,0.3,4904,0.5108333333333334,0.65,0,,1,olanzapine,TRUE,compound
NBQX,GRIN2A,0,cosine5nn,compound,compound,160,1,17,0.2833333333333333,4438,0.46229166666666666,0.6416666666666666,0,,1,TCN201,TRUE,compound
NSC-95397,CDC25A,0,cosine5nn,compound,compound,160,1,18,0.3,2211,0.2303125,0.65,0,,0,,FALSE,neither
NVP-ADW742,IGF1R,0,cosine5nn,compound,compound,160,1,21,0.35,5304,0.5525,0.675,0,,2,BMS-536924|ceritinib,TRUE,compound
NVP-AEW541,IGF1R,0,cosine5nn,compound,compound,160,1,22,0.36666666666666664,5305,0.5526041666666667,0.6833333333333333,0,,2,BMS-536924|ceritinib,TRUE,compound
NVP-HSP990,HSP90AA1,1,cosine5nn,compound,compound,8,0.05,1,0.01666666666666666,215,0.02239583333333333,0.03333333333333333,0,,2,ganetespib|geldanamycin,TRUE,compound
NVP-HSP990,HSP90AB1,1,cosine5nn,compound,compound,9,0.05625,1,0.01666666666666666,217,0.02260416666666666,0.03645833333333333,0,,1,geldanamycin,TRUE,compound
OMDM-2,GPR119,0,cosine5nn,compound,compound,160,1,22,0.36666666666666664,4325,0.4505208333333333,0.6833333333333333,0,,0,,FALSE,neither
PETCM,CASP3,0,cosine5nn,compound,compound,160,1,24,0.4,1980,0.20625,0.7,0,,2,NQDI-1|minocycline,TRUE,compound
PF-04217903,MET,0,cosine5nn,compound,compound,160,1,25,0.4166666666666667,6410,0.6677083333333333,0.7083333333333334,0,,2,BMS-536924|SGX523,TRUE,compound
PF-05190457,GHSR,0,cosine5nn,compound,compound,160,1,25,0.4166666666666667,4150,0.4322916666666667,0.7083333333333334,0,,1,ibutamoren,TRUE,compound
PHA-793887,CDK2,1,cosine5nn,compound,compound,5,0.03125,5,0.08333333333333333,92,0.00958333333333333,0.05729166666666666,0,,6,BMS-536924|NSC-625987|RGB-286638|TG-02|aminopurvalanol-a|ryuvidine,TRUE,compound
PHA-793887,CDK4,0,cosine5nn,compound,compound,158,0.9875,29,0.48333333333333334,2329,0.24260416666666668,0.7354166666666667,0,,4,NSC-625987|RGB-286638|arcyriaflavin-a|ryuvidine,TRUE,compound
PHA-793887,CDK7,0,cosine5nn,compound,compound,159,0.99375,27,0.45,2383,0.24822916666666667,0.721875,0,,2,RGB-286638|TG-02,TRUE,compound
PHA-793887,CDK9,0,cosine5nn,compound,compound,160,1,27,0.45,2439,0.2540625,0.725,0,,2,RGB-286638|TG-02,TRUE,compound
RKI-1447,PAK1,0,cosine5nn,compound,compound,160,1,27,0.45,6927,0.7215625,0.725,0,,0,,FALSE,neither
SB-202190,AKT1,0,cosine5nn,compound,compound,158,0.9875,30,0.5,960,0.1,0.74375,0,,4,BMS-536924|GSK2110183|PD-98059|SB-203580,TRUE,compound
SB-202190,LCK,0,cosine5nn,compound,compound,159,0.99375,33,0.55,6144,0.64,0.7718750000000001,0,,6,BMS-536924|PD-98059|PP-2|SB-203580|ZM-336372|ponatinib,TRUE,compound
SB-202190,MAPK14,0,cosine5nn,compound,compound,160,1,31,0.5166666666666667,6307,0.6569791666666667,0.7583333333333333,0,,3,PD-98059|SB-203580|ZM-336372,TRUE,compound
SB-202190,MAPK8,1,cosine5nn,compound,compound,5,0.03125,3,0.05,327,0.0340625,0.040625,0,,4,CC-401|PD-98059|SB-203580|SU3327,TRUE,compound
SRC-kinase-inhibitor-I,CSK,0,cosine5nn,compound,compound,160,1,29,0.48333333333333334,2839,0.29572916666666665,0.7416666666666667,0,,0,,FALSE,neither
SRC-kinase-inhibitor-I,LCK,1,cosine5nn,compound,compound,8,0.05,6,0.1,305,0.03177083333333333,0.07500000000000001,0,,6,BMS-536924|PD-98059|PP-2|SB-203580|ZM-336372|ponatinib,TRUE,compound
acalabrutinib,BTK,0,cosine5nn,compound,compound,160,1,30,0.5,1639,0.17072916666666663,0.75,0,,1,AVL-292,TRUE,compound
acetylcysteine,GRIN2A,0,cosine5nn,compound,compound,159,0.99375,31,0.5166666666666667,4452,0.46375,0.7552083333333334,0,,1,TCN201,TRUE,compound
acetylcysteine,SLC7A11,0,cosine5nn,compound,compound,160,1,36,0.6,8858,0.9227083333333334,0.8,0,,1,sulfasalazine,TRUE,compound
amiloride,ASIC1,0,cosine5nn,compound,compound,159,0.99375,32,0.5333333333333333,1195,0.12447916666666668,0.7635416666666667,0,,2,benzamil|nafamostat,TRUE,compound
amiloride,SCNN1G,0,cosine5nn,compound,compound,160,1,32,0.5333333333333333,8683,0.9044791666666666,0.7666666666666666,0,,1,benzamil,TRUE,compound
amlexanox,FGF1,0,cosine5nn,compound,compound,159,0.99375,33,0.55,3831,0.3990625,0.7718750000000001,0,,1,pazopanib,TRUE,compound
amlexanox,PDE4D,0,cosine5nn,compound,compound,160,1,33,0.55,7171,0.7469791666666666,0.775,0,,4,Ro-20-1724|dyphylline|ibudilast|zaprinast,TRUE,compound
amlodipine,CACNA2D3,0,cosine5nn,compound,compound,160,1,35,0.5833333333333334,1812,0.18875,0.7916666666666667,0,,1,nilvadipine,TRUE,compound
azeliragon,AGER,0,cosine5nn,compound,compound,160,1,35,0.5833333333333334,797,0.08302083333333334,0.7916666666666667,0,,0,,FALSE,neither
brinzolamide,CA14,1,cosine5nn,compound,compound,9,0.05625,4,0.06666666666666667,75,0.0078125,0.06145833333333334,0,,3,carzenide|coumarin|ethoxzolamide,TRUE,compound
brinzolamide,CA5A,1,cosine5nn,compound,compound,10,0.0625,3,0.05,79,0.00822916666666666,0.05625,0,,1,ethoxzolamide,TRUE,compound
cilostazol,PDE3A,0,cosine5nn,compound,compound,160,1,37,0.6166666666666667,7116,0.74125,0.8083333333333333,0,,3,Ro-20-1724|dyphylline|ibudilast,TRUE,compound
danusertib,AURKB,1,cosine5nn,compound,compound,7,0.04375,1,0.01666666666666666,54,0.005625,0.03020833333333333,0,,3,AMG900|GSK1070916|orantinib,TRUE,compound
danusertib,NTRK1,0,cosine5nn,compound,compound,159,0.99375,41,0.6833333333333333,6653,0.6930208333333333,0.8385416666666667,0,,2,LOXO-101|regorafenib,TRUE,compound
danusertib,RET,0,cosine5nn,compound,compound,160,1,38,0.6333333333333333,8161,0.8501041666666667,0.8166666666666667,0,,3,PP-1|ponatinib|regorafenib,TRUE,compound
delanzomib,CTSG,0,cosine5nn,compound,compound,158,0.9875,39,0.65,2909,0.30302083333333335,0.8187500000000001,0,,1,aloxistatin,TRUE,compound
delanzomib,CYP3A4,0,cosine5nn,compound,compound,159,0.99375,41,0.6833333333333333,3077,0.3205208333333333,0.8385416666666667,0,,7,BMS-536924|GSK1070916|SB-203580|cyclophosphamide|methoxsalen|nevirapine|paliperidone,TRUE,compound
delanzomib,ELANE,0,cosine5nn,compound,compound,160,1,39,0.65,3490,0.36354166666666665,0.825,0,,0,,FALSE,neither
diacerein,IL1B,0,cosine5nn,compound,compound,160,1,40,0.6666666666666666,5382,0.560625,0.8333333333333333,0,,3,JTE-607|ibudilast|minocycline,TRUE,compound
diltiazem,CACNG1,0,cosine5nn,compound,compound,159,0.99375,41,0.6833333333333333,1938,0.201875,0.8385416666666667,0,,2,ibutilide|lercanidipine,TRUE,compound
diltiazem,HTR3A,0,cosine5nn,compound,compound,160,1,41,0.6833333333333333,5209,0.5426041666666667,0.8416666666666667,0,,3,aripiprazole|olanzapine|procaine,TRUE,compound
edoxaban,F10,0,cosine5nn,compound,compound,160,1,42,0.7,3664,0.38166666666666665,0.85,0,,0,,FALSE,neither
efaproxiral,HBB,0,cosine5nn,compound,compound,160,1,43,0.7166666666666667,4583,0.47739583333333335,0.8583333333333334,0,,0,,FALSE,neither
efaroxan,ADORA2A,0,cosine5nn,compound,compound,160,1,44,0.7333333333333333,693,0.0721875,0.8666666666666667,0,,3,ANR-94|N6-cyclopentyladenosine|dyphylline,TRUE,compound
