Metadata_broad_sample_Compound,Metadata_broad_sample_CRISPR,y
BRD-K78122587,BRDN0001480921,0
BRD-K78122587,BRDN0001483238,0
BRD-K78122587,BRDN0001485605,0
BRD-K78122587,BRDN0001488605,0
BRD-K78122587,BRDN0001061130,0
BRD-K78122587,BRDN0001061132,0
BRD-K78122587,BRDN0001066064,0
BRD-K78122587,BRDN0001066250,0
BRD-K78122587,BRDN0001485421,0
BRD-K78122587,BRDN0001485843,0
BRD-K78122587,BRDN0001147538,0
BRD-K78122587,BRDN0001145303,0
BRD-K78122587,BRDN0001487345,0
BRD-K78122587,BRDN0001480942,0
BRD-K78122587,BRDN0001488886,0
BRD-K78122587,BRDN0001483257,0
BRD-K78122587,BRDN0001479766,0
BRD-K78122587,BRDN0001480275,0
BRD-K78122587,BRDN0001057455,0
BRD-K78122587,BRDN0001484506,0
BRD-K78122587,BRDN0001480930,0
BRD-K78122587,BRDN0001479298,0
BRD-K78122587,BRDN0001146959,0
BRD-K78122587,BRDN0001146892,0
BRD-K78122587,BRDN0001480465,0
BRD-K78122587,BRDN0001480426,0
BRD-K78122587,BRDN0001487280,0
BRD-K78122587,BRDN0001480242,0
BRD-K78122587,BRDN0001054845,0
BRD-K78122587,BRDN0000562944,0
BRD-K78122587,BRDN0001482005,0
BRD-K78122587,BRDN0001485726,0
BRD-K78122587,BRDN0001480346,0
BRD-K78122587,BRDN0001483666,0
BRD-K78122587,BRDN0001489794,0
BRD-K78122587,BRDN0001487815,0
BRD-K78122587,BRDN0000734502,0
BRD-K78122587,BRDN0000734459,0
BRD-K78122587,BRDN0001483314,0
BRD-K78122587,BRDN0001482725,0
BRD-K78122587,BRDN0001487618,0
BRD-K78122587,BRDN0001065457,0
BRD-K78122587,BRDN0001488344,0
BRD-K78122587,BRDN0001483052,0
BRD-K78122587,BRDN0001479262,0
BRD-K78122587,BRDN0001489555,0
BRD-K78122587,BRDN0001484319,0
BRD-K78122587,BRDN0001482043,0
BRD-K78122587,BRDN0001481569,0
BRD-K78122587,BRDN0001485604,0
BRD-K78122587,BRDN0001490153,0
BRD-K78122587,BRDN0001065508,0
BRD-K78122587,BRDN0001065244,0
BRD-K78122587,BRDN0001480594,0
BRD-K78122587,BRDN0001483958,0
BRD-K78122587,BRDN0001486784,0
BRD-K78122587,BRDN0001482741,0
BRD-K78122587,BRDN0001480861,0
BRD-K78122587,BRDN0001485794,0
BRD-K78122587,BRDN0001058343,0
BRD-K78122587,BRDN0001058011,0
BRD-K78122587,BRDN0001484730,0
BRD-K78122587,BRDN0001481327,0
BRD-K78122587,BRDN0001488073,0
BRD-K78122587,BRDN0001484045,0
BRD-K78122587,BRDN0001054815,0
BRD-K78122587,BRDN0000563627,0
BRD-K78122587,BRDN0001149473,0
BRD-K78122587,BRDN0001144958,0
BRD-K78122587,BRDN0001483817,0
BRD-K78122587,BRDN0001482450,0
BRD-K78122587,BRDN0001483355,0
BRD-K78122587,BRDN0001486630,0
BRD-K78122587,BRDN0001065000,0
BRD-K78122587,BRDN0001065187,0
BRD-K78122587,BRDN0000564018,0
BRD-K78122587,BRDN0000563764,0
BRD-K78122587,BRDN0001489262,0
BRD-K78122587,BRDN0001484786,0
BRD-K78122587,BRDN0001162216,0
BRD-K78122587,BRDN0001147450,0
BRD-K78122587,BRDN0001490325,0
BRD-K78122587,BRDN0001481315,0
BRD-K78122587,BRDN0001484642,0
BRD-K78122587,BRDN0001485538,0
BRD-K78122587,BRDN0001480293,0
BRD-K78122587,BRDN0001482384,0
BRD-K78122587,BRDN0001145239,0
BRD-K78122587,BRDN0001162582,0
BRD-K78122587,BRDN0001065819,0
BRD-K78122587,BRDN0001065728,0
BRD-K78122587,BRDN0000734703,0
BRD-K78122587,BRDN0001065558,0
BRD-K78122587,BRDN0001486172,0
BRD-K78122587,BRDN0001485619,0
BRD-K78122587,BRDN0001065162,0
BRD-K78122587,BRDN0001065152,0
BRD-K78122587,BRDN0001480267,0
BRD-K78122587,BRDN0001486813,0
BRD-K78122587,BRDN0001065841,0
BRD-K78122587,BRDN0001481027,0
BRD-K78122587,BRDN0001485023,0
BRD-K78122587,BRDN0001054985,0
BRD-K78122587,BRDN0000562836,0
BRD-K78122587,BRDN0001147786,0
BRD-K78122587,BRDN0001148950,0
BRD-K78122587,BRDN0001480092,0
BRD-K78122587,BRDN0001484654,0
BRD-K78122587,BRDN0001144995,0
BRD-K78122587,BRDN0001054037,0
BRD-K78122587,BRDN0001149518,0
BRD-K78122587,BRDN0001149033,0
BRD-K78122587,BRDN0001489452,0
BRD-K78122587,BRDN0001488805,0
BRD-K78122587,BRDN0001488082,0
BRD-K78122587,BRDN0001481198,0
BRD-K78122587,BRDN0001054801,0
BRD-K78122587,BRDN0000562882,0
BRD-K78122587,BRDN0001480931,0
BRD-K78122587,BRDN0001481787,0
BRD-K78122587,BRDN0001145318,0
BRD-K78122587,BRDN0001483788,0
BRD-K78122587,BRDN0001486382,0
BRD-K78122587,BRDN0001485965,0
BRD-K78122587,BRDN0001480476,0
BRD-K78122587,BRDN0001147509,0
BRD-K78122587,BRDN0000582721,0
BRD-K78122587,BRDN0000733096,0
BRD-K78122587,BRDN0000732963,0
BRD-K78122587,BRDN0000732970,0
BRD-K78122587,BRDN0001481176,0
BRD-K78122587,BRDN0001484348,0
BRD-K78122587,BRDN0001145324,0
BRD-K78122587,BRDN0001149376,0
BRD-K78122587,BRDN0001484783,0
BRD-K78122587,BRDN0001488696,0
BRD-K78122587,BRDN0001483527,0
BRD-K78122587,BRDN0001489120,0
BRD-K78122587,BRDN0001145608,0
BRD-K78122587,BRDN0001147629,0
BRD-K78122587,BRDN0001487003,0
BRD-K78122587,BRDN0001484228,0
BRD-K78122587,BRDN0001488543,0
BRD-K78122587,BRDN0001485163,0
BRD-K78122587,BRDN0001486377,0
BRD-K78122587,BRDN0001488358,0
BRD-K78122587,BRDN0001480034,0
BRD-K78122587,BRDN0001484463,0
BRD-K78122587,BRDN0001481686,0
BRD-K78122587,BRDN0001481083,0
BRD-K78122587,BRDN0001483506,0
BRD-K78122587,BRDN0001481654,0
BRD-K78122587,BRDN0001482390,0
BRD-K78122587,BRDN0001483830,0
BRD-K78122587,BRDN0001484416,0
BRD-K78122587,BRDN0001148320,0
BRD-K78122587,BRDN0000579738,0
BRD-K78122587,BRDN0001484659,0
BRD-K78122587,BRDN0001480913,0
BRD-K78122587,BRDN0001479432,0
BRD-K78122587,BRDN0001481097,0
BRD-K78122587,BRDN0001482955,0
BRD-K78122587,BRDN0001147690,0
BRD-K78122587,BRDN0000585461,0
BRD-K78122587,BRDN0001483208,0
BRD-K78122587,BRDN0001488340,0
BRD-K78122587,BRDN0001485334,0
BRD-K78122587,BRDN0001486451,0
BRD-K78122587,BRDN0001148859,0
BRD-K78122587,BRDN0001487070,0
BRD-K78122587,BRDN0001486858,0
BRD-K78122587,BRDN0001487201,0
BRD-K78122587,BRDN0001478949,0
BRD-K78122587,BRDN0001479698,0
BRD-K78122587,BRDN0001489053,0
BRD-K78122587,BRDN0001487205,0
BRD-K78122587,BRDN0001483295,0
BRD-K78122587,BRDN0001488321,0
BRD-K78122587,BRDN0000990355,0
BRD-K78122587,BRDN0000990412,0
BRD-K78122587,BRDN0001485228,0
BRD-K78122587,BRDN0001487761,0
BRD-K78122587,BRDN0001162576,0
BRD-K78122587,BRDN0001480501,0
BRD-K78122587,BRDN0001144938,0
BRD-K78122587,BRDN0001146819,0
BRD-K78122587,BRDN0001486852,0
BRD-K78122587,BRDN0001489609,0
BRD-K78122587,BRDN0001485349,0
BRD-K78122587,BRDN0001480309,0
BRD-K78122587,BRDN0001065674,0
BRD-K78122587,BRDN0001065858,0
BRD-K78122587,BRDN0001487270,0
BRD-K78122587,BRDN0001487520,0
BRD-K78122587,BRDN0000733514,0
BRD-K78122587,BRDN0001146786,0
BRD-K78122587,BRDN0001489809,0
BRD-K78122587,BRDN0001488241,0
BRD-K78122587,BRDN0000581508,0
BRD-K78122587,BRDN0001490543,0
BRD-K78122587,BRDN0001485038,0
BRD-K78122587,BRDN0001482049,0
BRD-K78122587,BRDN0000563501,0
BRD-K78122587,BRDN0000563722,0
BRD-K78122587,BRDN0000585854,0
BRD-K78122587,BRDN0001145610,0
BRD-K78122587,BRDN0001145958,0
BRD-K78122587,BRDN0001147867,0
BRD-K78122587,BRDN0000582784,0
BRD-K78122587,BRDN0001057535,0
BRD-K78122587,BRDN0001149482,0
BRD-K78122587,BRDN0001149418,0
BRD-K78122587,BRDN0001487607,0
BRD-K78122587,BRDN0001484218,0
BRD-K78122587,BRDN0001485385,0
BRD-K78122587,BRDN0001487249,0
BRD-K78122587,BRDN0001479791,0
BRD-K78122587,BRDN0001480256,0
BRD-K78122587,BRDN0001487609,0
BRD-K78122587,BRDN0001479324,0
BRD-K78122587,BRDN0001066838,0
BRD-K78122587,BRDN0001066751,0
BRD-K78122587,BRDN0001065257,0
BRD-K78122587,BRDN0001065258,0
BRD-K78122587,BRDN0001487440,0
BRD-K78122587,BRDN0001486303,0
BRD-K78122587,BRDN0001144990,0
BRD-K78122587,BRDN0001148507,0
BRD-K78122587,BRDN0001052307,0
BRD-K78122587,BRDN0001148298,0
BRD-K78122587,BRDN0001147209,0
BRD-K78122587,BRDN0001146512,0
BRD-K78122587,BRDN0001481578,0
BRD-K78122587,BRDN0001485608,0
BRD-K78122587,BRDN0001484276,0
BRD-K78122587,BRDN0001488463,0
BRD-K78122587,BRDN0001484377,0
BRD-K78122587,BRDN0001480865,0
BRD-K78122587,BRDN0001486925,0
BRD-K78122587,BRDN0001479710,0
BRD-K78122587,BRDN0001054403,0
BRD-K78122587,BRDN0001054361,0
BRD-K78122587,BRDN0001148112,0
BRD-K78122587,BRDN0001145503,0
BRD-K78122587,BRDN0001145758,0
BRD-K78122587,BRDN0001486718,0
BRD-K78122587,BRDN0001485309,0
BRD-K78122587,BRDN0001056840,0
BRD-K78122587,BRDN0001481609,0
BRD-K78122587,BRDN0001481136,0
BRD-K91825936,BRDN0001480888,0
BRD-K91825936,BRDN0001482977,0
BRD-K91825936,BRDN0001483495,0
BRD-K91825936,BRDN0001484586,0
BRD-K91825936,BRDN0001147364,0
BRD-K91825936,BRDN0001147906,0
BRD-K91825936,BRDN0001490272,0
BRD-K91825936,BRDN0001488387,0
BRD-K91825936,BRDN0001480510,0
BRD-K91825936,BRDN0001483086,0
BRD-K91825936,BRDN0001487636,0
BRD-K91825936,BRDN0001487543,0
BRD-K91825936,BRDN0001484752,0
BRD-K91825936,BRDN0001481237,0
BRD-K91825936,BRDN0001485022,0
BRD-K91825936,BRDN0001486748,0
BRD-K91825936,BRDN0001488469,0
BRD-K91825936,BRDN0001479972,0
BRD-K91825936,BRDN0001479055,0
BRD-K91825936,BRDN0001486449,0
BRD-K91825936,BRDN0001487915,0
BRD-K91825936,BRDN0001488371,0
BRD-K91825936,BRDN0001488235,0
BRD-K91825936,BRDN0001488751,0
BRD-K91825936,BRDN0001483003,0
BRD-K91825936,BRDN0001489498,0
BRD-K91825936,BRDN0001489066,0
BRD-K91825936,BRDN0001487864,0
BRD-K91825936,BRDN0001480412,0
BRD-K91825936,BRDN0001485150,0
BRD-K91825936,BRDN0001148417,0
BRD-K91825936,BRDN0001489686,0
BRD-K91825936,BRDN0001485154,0
BRD-K91825936,BRDN0001481331,0
BRD-K91825936,BRDN0001481651,0
BRD-K91825936,BRDN0001481599,0
BRD-K91825936,BRDN0001483549,0
BRD-K91825936,BRDN0001487247,0
BRD-K91825936,BRDN0001487328,0
BRD-K91825936,BRDN0001484748,0
BRD-K91825936,BRDN0001489575,0
BRD-K91825936,BRDN0000987760,0
BRD-K91825936,BRDN0001144968,0
BRD-K91825936,BRDN0001485957,0
BRD-K91825936,BRDN0001482877,0
BRD-K91825936,BRDN0001486606,0
BRD-K91825936,BRDN0000735610,0
BRD-K91825936,BRDN0000735603,0
BRD-K91825936,BRDN0001487881,0
BRD-K91825936,BRDN0001479616,0
BRD-K91825936,BRDN0001493988,0
BRD-K91825936,BRDN0001053816,0
BRD-K91825936,BRDN0001483194,0
BRD-K91825936,BRDN0001487712,0
BRD-K91825936,BRDN0001484703,0
BRD-K91825936,BRDN0001480921,0
BRD-K91825936,BRDN0001483238,0
BRD-K91825936,BRDN0001485605,0
BRD-K91825936,BRDN0001488605,0
BRD-K91825936,BRDN0001061130,0
BRD-K91825936,BRDN0001061132,0
BRD-K91825936,BRDN0001066064,0
BRD-K91825936,BRDN0001066250,0
BRD-K91825936,BRDN0001485421,0
BRD-K91825936,BRDN0001485843,0
BRD-K91825936,BRDN0001147538,0
BRD-K91825936,BRDN0001145303,0
BRD-K91825936,BRDN0001487345,0
BRD-K91825936,BRDN0001480942,0
BRD-K91825936,BRDN0001488886,0
BRD-K91825936,BRDN0001483257,0
BRD-K91825936,BRDN0001479766,0
BRD-K91825936,BRDN0001480275,0
BRD-K91825936,BRDN0001057455,0
BRD-K91825936,BRDN0001484506,0
BRD-K91825936,BRDN0001480930,0
BRD-K91825936,BRDN0001479298,0
BRD-K91825936,BRDN0001146959,0
BRD-K91825936,BRDN0001146892,0
BRD-K91825936,BRDN0001480465,0
BRD-K91825936,BRDN0001480426,0
BRD-K91825936,BRDN0001487280,0
BRD-K91825936,BRDN0001480242,0
BRD-K91825936,BRDN0001054845,0
BRD-K91825936,BRDN0000562944,0
BRD-K91825936,BRDN0001482005,0
BRD-K91825936,BRDN0001485726,0
BRD-K91825936,BRDN0001480346,0
BRD-K91825936,BRDN0001483666,0
BRD-K91825936,BRDN0001489794,0
BRD-K91825936,BRDN0001487815,0
BRD-K91825936,BRDN0000734502,0
BRD-K91825936,BRDN0000734459,0
BRD-K91825936,BRDN0001483314,0
BRD-K91825936,BRDN0001482725,0
BRD-K91825936,BRDN0001487618,0
BRD-K91825936,BRDN0001065457,0
BRD-K91825936,BRDN0001488344,0
BRD-K91825936,BRDN0001483052,0
BRD-K91825936,BRDN0001479262,0
BRD-K91825936,BRDN0001489555,0
BRD-K91825936,BRDN0001484319,0
BRD-K91825936,BRDN0001482043,0
BRD-K91825936,BRDN0001481569,0
BRD-K91825936,BRDN0001485604,0
BRD-K91825936,BRDN0001490153,0
BRD-K91825936,BRDN0001065508,0
BRD-K91825936,BRDN0001065244,0
BRD-K91825936,BRDN0001480594,0
BRD-K91825936,BRDN0001483958,0
BRD-K91825936,BRDN0001486784,0
BRD-K91825936,BRDN0001482741,0
BRD-K91825936,BRDN0001480861,0
BRD-K91825936,BRDN0001485794,0
BRD-K91825936,BRDN0001058343,0
BRD-K91825936,BRDN0001058011,0
BRD-K91825936,BRDN0001484730,0
BRD-K91825936,BRDN0001481327,0
BRD-K91825936,BRDN0001488073,0
BRD-K91825936,BRDN0001484045,0
BRD-K91825936,BRDN0001054815,0
BRD-K91825936,BRDN0000563627,0
BRD-K91825936,BRDN0001149473,0
BRD-K91825936,BRDN0001144958,0
BRD-K91825936,BRDN0001483817,0
BRD-K91825936,BRDN0001482450,0
BRD-K91825936,BRDN0001483355,0
BRD-K91825936,BRDN0001486630,0
BRD-K91825936,BRDN0001065000,0
BRD-K91825936,BRDN0001065187,0
BRD-K91825936,BRDN0000564018,0
BRD-K91825936,BRDN0000563764,0
BRD-K91825936,BRDN0001489262,0
BRD-K91825936,BRDN0001484786,0
BRD-K91825936,BRDN0001162216,0
BRD-K91825936,BRDN0001147450,0
BRD-K91825936,BRDN0001490325,0
BRD-K91825936,BRDN0001481315,0
BRD-K91825936,BRDN0001484642,0
BRD-K91825936,BRDN0001485538,0
BRD-K91825936,BRDN0001480293,0
BRD-K91825936,BRDN0001482384,0
BRD-K91825936,BRDN0001145239,0
BRD-K91825936,BRDN0001162582,0
BRD-K91825936,BRDN0001065819,0
BRD-K91825936,BRDN0001065728,0
BRD-K91825936,BRDN0000734703,0
BRD-K91825936,BRDN0001065558,0
BRD-K91825936,BRDN0001486172,0
BRD-K91825936,BRDN0001485619,0
BRD-K91825936,BRDN0001065162,0
BRD-K91825936,BRDN0001065152,0
BRD-K91825936,BRDN0001480267,0
BRD-K91825936,BRDN0001486813,0
BRD-K91825936,BRDN0001065841,0
BRD-K91825936,BRDN0001481027,0
BRD-K91825936,BRDN0001485023,0
BRD-K91825936,BRDN0001054985,0
BRD-K91825936,BRDN0000562836,0
BRD-K91825936,BRDN0001147786,0
BRD-K91825936,BRDN0001148950,0
BRD-K91825936,BRDN0001480092,0
BRD-K91825936,BRDN0001484654,0
BRD-K91825936,BRDN0001144995,0
BRD-K91825936,BRDN0001054037,0
BRD-K91825936,BRDN0001149518,0
BRD-K91825936,BRDN0001149033,0
BRD-K91825936,BRDN0001489452,0
BRD-K91825936,BRDN0001488805,0
BRD-K91825936,BRDN0001488082,0
BRD-K91825936,BRDN0001481198,0
BRD-K91825936,BRDN0001054801,0
BRD-K91825936,BRDN0000562882,0
BRD-K91825936,BRDN0001480931,0
BRD-K91825936,BRDN0001481787,0
BRD-K91825936,BRDN0001145318,0
BRD-K91825936,BRDN0001483788,0
BRD-K91825936,BRDN0001486382,0
BRD-K91825936,BRDN0001485965,1
BRD-K91825936,BRDN0001480476,1
BRD-K91825936,BRDN0001147509,0
BRD-K91825936,BRDN0000582721,0
BRD-K91825936,BRDN0000733096,0
BRD-K91825936,BRDN0000732963,0
BRD-K91825936,BRDN0000732970,0
BRD-K91825936,BRDN0001481176,0
BRD-K91825936,BRDN0001484348,0
BRD-K91825936,BRDN0001145324,0
BRD-K91825936,BRDN0001149376,0
BRD-K91825936,BRDN0001484783,0
BRD-K91825936,BRDN0001488696,0
BRD-K91825936,BRDN0001483527,0
BRD-K91825936,BRDN0001489120,0
BRD-K91825936,BRDN0001145608,0
BRD-K91825936,BRDN0001147629,0
BRD-K91825936,BRDN0001487003,0
BRD-K91825936,BRDN0001484228,0
BRD-K91825936,BRDN0001488543,0
BRD-K91825936,BRDN0001485163,0
BRD-K91825936,BRDN0001486377,0
BRD-K91825936,BRDN0001488358,0
BRD-K91825936,BRDN0001480034,0
BRD-K91825936,BRDN0001484463,0
BRD-K91825936,BRDN0001481686,0
BRD-K91825936,BRDN0001481083,0
BRD-K91825936,BRDN0001483506,0
BRD-K91825936,BRDN0001481654,0
BRD-K91825936,BRDN0001482390,0
BRD-K91825936,BRDN0001483830,0
BRD-K91825936,BRDN0001484416,0
BRD-K91825936,BRDN0001148320,0
BRD-K91825936,BRDN0000579738,0
BRD-K91825936,BRDN0001484659,0
BRD-K91825936,BRDN0001480913,0
BRD-K91825936,BRDN0001479432,0
BRD-K91825936,BRDN0001481097,0
BRD-K91825936,BRDN0001482955,0
BRD-K91825936,BRDN0001147690,0
BRD-K91825936,BRDN0000585461,0
BRD-K91825936,BRDN0001483208,0
BRD-K91825936,BRDN0001488340,0
BRD-K91825936,BRDN0001485334,0
BRD-K91825936,BRDN0001486451,0
BRD-K91825936,BRDN0001148859,0
BRD-K91825936,BRDN0001487070,0
BRD-K91825936,BRDN0001486858,0
BRD-K91825936,BRDN0001487201,0
BRD-K91825936,BRDN0001478949,0
BRD-K91825936,BRDN0001479698,0
BRD-K91825936,BRDN0001489053,0
BRD-K91825936,BRDN0001487205,0
BRD-K91825936,BRDN0001483295,0
BRD-K91825936,BRDN0001488321,0
BRD-K91825936,BRDN0000990355,0
BRD-K91825936,BRDN0000990412,0
BRD-K91825936,BRDN0001485228,0
BRD-K91825936,BRDN0001487761,0
BRD-K91825936,BRDN0001162576,0
BRD-K91825936,BRDN0001480501,0
BRD-K91825936,BRDN0001144938,0
BRD-K91825936,BRDN0001146819,0
BRD-K91825936,BRDN0001486852,0
BRD-K91825936,BRDN0001489609,0
BRD-K91825936,BRDN0001485349,0
BRD-K91825936,BRDN0001480309,0
BRD-K91825936,BRDN0001065674,0
BRD-K91825936,BRDN0001065858,0
BRD-K91825936,BRDN0001487270,0
BRD-K91825936,BRDN0001487520,0
BRD-K91825936,BRDN0000733514,0
BRD-K91825936,BRDN0001146786,0
BRD-K91825936,BRDN0001489809,0
BRD-K91825936,BRDN0001488241,0
BRD-K91825936,BRDN0000581508,0
BRD-K91825936,BRDN0001490543,0
BRD-K91825936,BRDN0001485038,0
BRD-K91825936,BRDN0001482049,0
BRD-K91825936,BRDN0000563501,0
BRD-K91825936,BRDN0000563722,0
BRD-K91825936,BRDN0000585854,0
BRD-K91825936,BRDN0001145610,0
BRD-K91825936,BRDN0001145958,0
BRD-K91825936,BRDN0001147867,0
BRD-K91825936,BRDN0000582784,0
BRD-K91825936,BRDN0001057535,0
BRD-K91825936,BRDN0001149482,0
BRD-K91825936,BRDN0001149418,0
BRD-K91825936,BRDN0001487607,0
BRD-K91825936,BRDN0001484218,0
BRD-K91825936,BRDN0001485385,0
BRD-K91825936,BRDN0001487249,0
BRD-K91825936,BRDN0001479791,0
BRD-K91825936,BRDN0001480256,0
BRD-K91825936,BRDN0001487609,0
BRD-K91825936,BRDN0001479324,0
BRD-K91825936,BRDN0001066838,0
BRD-K91825936,BRDN0001066751,0
BRD-K91825936,BRDN0001065257,0
BRD-K91825936,BRDN0001065258,0
BRD-K91825936,BRDN0001487440,0
BRD-K91825936,BRDN0001486303,0
BRD-K91825936,BRDN0001144990,0
BRD-K91825936,BRDN0001148507,0
BRD-K91825936,BRDN0001052307,0
BRD-K91825936,BRDN0001148298,0
BRD-K91825936,BRDN0001147209,0
BRD-K91825936,BRDN0001146512,0
BRD-K91825936,BRDN0001481578,0
BRD-K91825936,BRDN0001485608,0
BRD-K91825936,BRDN0001484276,0
BRD-K91825936,BRDN0001488463,0
BRD-K91825936,BRDN0001484377,0
BRD-K91825936,BRDN0001480865,0
BRD-K91825936,BRDN0001486925,0
BRD-K91825936,BRDN0001479710,0
BRD-K91825936,BRDN0001054403,0
BRD-K91825936,BRDN0001054361,0
BRD-K91825936,BRDN0001148112,0
BRD-K91825936,BRDN0001145503,0
BRD-K91825936,BRDN0001145758,0
BRD-K91825936,BRDN0001486718,0
BRD-K91825936,BRDN0001485309,0
BRD-K91825936,BRDN0001056840,0
BRD-K91825936,BRDN0001481609,0
BRD-K91825936,BRDN0001481136,0
BRD-K38775274,BRDN0001480888,0
BRD-K38775274,BRDN0001482977,0
BRD-A10188456,BRDN0001480888,0
BRD-A10188456,BRDN0001482977,0
BRD-K38775274,BRDN0001483495,0
BRD-K38775274,BRDN0001484586,0
BRD-A10188456,BRDN0001483495,0
BRD-A10188456,BRDN0001484586,0
BRD-K38775274,BRDN0001147364,0
BRD-K38775274,BRDN0001147906,0
BRD-A10188456,BRDN0001147364,0
BRD-A10188456,BRDN0001147906,0
BRD-K38775274,BRDN0001490272,0
BRD-K38775274,BRDN0001488387,0
BRD-A10188456,BRDN0001490272,0
BRD-A10188456,BRDN0001488387,0
BRD-K38775274,BRDN0001480510,0
BRD-K38775274,BRDN0001483086,0
BRD-A10188456,BRDN0001480510,0
BRD-A10188456,BRDN0001483086,0
BRD-K38775274,BRDN0001487636,0
BRD-K38775274,BRDN0001487543,0
BRD-A10188456,BRDN0001487636,0
BRD-A10188456,BRDN0001487543,0
BRD-K38775274,BRDN0001484752,0
BRD-K38775274,BRDN0001481237,0
BRD-A10188456,BRDN0001484752,0
BRD-A10188456,BRDN0001481237,0
BRD-K38775274,BRDN0001485022,0
BRD-K38775274,BRDN0001486748,0
BRD-A10188456,BRDN0001485022,0
BRD-A10188456,BRDN0001486748,0
BRD-K38775274,BRDN0001488469,0
BRD-K38775274,BRDN0001479972,0
BRD-A10188456,BRDN0001488469,0
BRD-A10188456,BRDN0001479972,0
BRD-K38775274,BRDN0001479055,0
BRD-K38775274,BRDN0001486449,0
BRD-A10188456,BRDN0001479055,0
BRD-A10188456,BRDN0001486449,0
BRD-K38775274,BRDN0001487915,0
BRD-K38775274,BRDN0001488371,0
BRD-A10188456,BRDN0001487915,0
BRD-A10188456,BRDN0001488371,0
BRD-K38775274,BRDN0001488235,0
BRD-K38775274,BRDN0001488751,0
BRD-A10188456,BRDN0001488235,0
BRD-A10188456,BRDN0001488751,0
BRD-K38775274,BRDN0001483003,0
BRD-K38775274,BRDN0001489498,0
BRD-A10188456,BRDN0001483003,0
BRD-A10188456,BRDN0001489498,0
BRD-K38775274,BRDN0001489066,0
BRD-A10188456,BRDN0001489066,0
BRD-K38775274,BRDN0001487864,0
BRD-A10188456,BRDN0001487864,0
BRD-K38775274,BRDN0001480412,0
BRD-K38775274,BRDN0001485150,0
BRD-A10188456,BRDN0001480412,0
BRD-A10188456,BRDN0001485150,0
BRD-K38775274,BRDN0001148417,0
BRD-A10188456,BRDN0001148417,0
BRD-K38775274,BRDN0001489686,0
BRD-K38775274,BRDN0001485154,0
BRD-A10188456,BRDN0001489686,0
BRD-A10188456,BRDN0001485154,0
BRD-K38775274,BRDN0001481331,0
BRD-K38775274,BRDN0001481651,0
BRD-A10188456,BRDN0001481331,0
BRD-A10188456,BRDN0001481651,0
BRD-K38775274,BRDN0001481599,0
BRD-K38775274,BRDN0001483549,0
BRD-A10188456,BRDN0001481599,0
BRD-A10188456,BRDN0001483549,0
BRD-K38775274,BRDN0001487247,0
BRD-K38775274,BRDN0001487328,0
BRD-A10188456,BRDN0001487247,0
BRD-A10188456,BRDN0001487328,0
BRD-K38775274,BRDN0001484748,0
BRD-K38775274,BRDN0001489575,0
BRD-A10188456,BRDN0001484748,0
BRD-A10188456,BRDN0001489575,0
BRD-K38775274,BRDN0000987760,0
BRD-K38775274,BRDN0001144968,0
BRD-A10188456,BRDN0000987760,0
BRD-A10188456,BRDN0001144968,0
